Index,Sample_Value,Label
318,130,raw_audio
319,127,raw_audio
320,120,raw_audio
321,121,raw_audio
322,121,raw_audio
323,122,raw_audio
324,120,raw_audio
325,120,raw_audio
326,118,raw_audio
327,121,raw_audio
328,120,raw_audio
329,118,raw_audio
330,119,raw_audio
331,121,raw_audio
332,119,raw_audio
333,106,raw_audio
334,129,raw_audio
335,128,raw_audio
336,117,raw_audio
337,121,raw_audio
338,124,raw_audio
339,121,raw_audio
340,120,raw_audio
341,120,raw_audio
342,119,raw_audio
343,122,raw_audio
344,123,raw_audio
345,121,raw_audio
346,120,raw_audio
347,119,raw_audio
348,119,raw_audio
349,105,raw_audio
350,124,raw_audio
351,130,raw_audio
352,120,raw_audio
353,119,raw_audio
354,124,raw_audio
355,122,raw_audio
356,120,raw_audio
357,118,raw_audio
358,120,raw_audio
359,121,raw_audio
360,121,raw_audio
361,120,raw_audio
362,119,raw_audio
363,120,raw_audio
364,120,raw_audio
365,103,raw_audio
366,122,raw_audio
367,134,raw_audio
368,122,raw_audio
369,119,raw_audio
370,124,raw_audio
371,122,raw_audio
372,121,raw_audio
373,120,raw_audio
374,121,raw_audio
375,121,raw_audio
376,121,raw_audio
377,120,raw_audio
378,120,raw_audio
379,120,raw_audio
380,121,raw_audio
381,105,raw_audio
382,120,raw_audio
383,133,raw_audio
384,124,raw_audio
385,119,raw_audio
386,124,raw_audio
387,123,raw_audio
388,121,raw_audio
389,120,raw_audio
390,120,raw_audio
391,121,raw_audio
392,122,raw_audio
393,122,raw_audio
394,120,raw_audio
395,119,raw_audio
396,121,raw_audio
397,105,raw_audio
398,115,raw_audio
399,133,raw_audio
400,125,raw_audio
401,119,raw_audio
402,123,raw_audio
403,123,raw_audio
404,121,raw_audio
405,118,raw_audio
406,120,raw_audio
407,120,raw_audio
408,119,raw_audio
409,121,raw_audio
410,121,raw_audio
411,120,raw_audio
412,119,raw_audio
413,107,raw_audio
414,114,raw_audio
415,131,raw_audio
416,124,raw_audio
417,118,raw_audio
418,122,raw_audio
419,122,raw_audio
420,120,raw_audio
421,118,raw_audio
422,122,raw_audio
423,123,raw_audio
424,123,raw_audio
425,122,raw_audio
426,122,raw_audio
427,122,raw_audio
428,122,raw_audio
429,114,raw_audio
430,110,raw_audio
431,131,raw_audio
432,129,raw_audio
433,118,raw_audio
434,122,raw_audio
435,125,raw_audio
436,123,raw_audio
437,122,raw_audio
438,120,raw_audio
439,119,raw_audio
440,122,raw_audio
441,122,raw_audio
442,121,raw_audio
443,120,raw_audio
444,121,raw_audio
445,115,raw_audio
446,108,raw_audio
447,129,raw_audio
448,127,raw_audio
449,120,raw_audio
450,121,raw_audio
451,121,raw_audio
452,122,raw_audio
453,122,raw_audio
454,120,raw_audio
455,120,raw_audio
456,121,raw_audio
457,122,raw_audio
458,120,raw_audio
459,119,raw_audio
460,120,raw_audio
461,117,raw_audio
462,105,raw_audio
463,126,raw_audio
464,132,raw_audio
465,120,raw_audio
466,118,raw_audio
467,124,raw_audio
468,123,raw_audio
469,121,raw_audio
470,121,raw_audio
471,122,raw_audio
472,122,raw_audio
473,122,raw_audio
474,122,raw_audio
475,121,raw_audio
476,121,raw_audio
477,119,raw_audio
478,104,raw_audio
479,122,raw_audio
480,130,raw_audio
481,119,raw_audio
482,118,raw_audio
483,123,raw_audio
484,121,raw_audio
485,119,raw_audio
486,119,raw_audio
487,121,raw_audio
488,121,raw_audio
489,120,raw_audio
490,121,raw_audio
491,121,raw_audio
492,122,raw_audio
493,121,raw_audio
494,104,raw_audio
495,120,raw_audio
496,132,raw_audio
497,123,raw_audio
498,120,raw_audio
499,123,raw_audio
500,123,raw_audio
501,123,raw_audio
502,122,raw_audio
503,120,raw_audio
504,121,raw_audio
505,122,raw_audio
506,123,raw_audio
507,121,raw_audio
508,122,raw_audio
509,119,raw_audio
510,105,raw_audio
511,119,raw_audio
512,133,raw_audio
513,124,raw_audio
514,117,raw_audio
515,122,raw_audio
516,122,raw_audio
517,119,raw_audio
518,119,raw_audio
519,120,raw_audio
520,119,raw_audio
521,118,raw_audio
522,120,raw_audio
523,118,raw_audio
524,119,raw_audio
525,121,raw_audio
526,105,raw_audio
527,113,raw_audio
528,131,raw_audio
529,124,raw_audio
530,118,raw_audio
531,122,raw_audio
532,122,raw_audio
533,120,raw_audio
534,118,raw_audio
535,120,raw_audio
536,121,raw_audio
537,120,raw_audio
538,120,raw_audio
539,120,raw_audio
540,121,raw_audio
541,122,raw_audio
542,109,raw_audio
543,113,raw_audio
544,132,raw_audio
545,125,raw_audio
546,119,raw_audio
547,123,raw_audio
548,123,raw_audio
549,121,raw_audio
550,118,raw_audio
551,120,raw_audio
552,121,raw_audio
553,119,raw_audio
554,120,raw_audio
555,119,raw_audio
556,120,raw_audio
557,120,raw_audio
558,111,raw_audio
559,109,raw_audio
560,131,raw_audio
561,126,raw_audio
562,117,raw_audio
563,121,raw_audio
564,122,raw_audio
565,120,raw_audio
566,119,raw_audio
567,121,raw_audio
568,121,raw_audio
569,121,raw_audio
570,121,raw_audio
571,121,raw_audio
572,120,raw_audio
573,119,raw_audio
574,116,raw_audio
575,107,raw_audio
576,129,raw_audio
577,128,raw_audio
578,117,raw_audio
579,120,raw_audio
580,124,raw_audio
581,122,raw_audio
582,121,raw_audio
583,121,raw_audio
584,121,raw_audio
585,121,raw_audio
586,121,raw_audio
587,121,raw_audio
588,121,raw_audio
589,121,raw_audio
590,119,raw_audio
591,105,raw_audio
592,126,raw_audio
593,131,raw_audio
594,120,raw_audio
595,118,raw_audio
596,123,raw_audio
597,124,raw_audio
598,121,raw_audio
599,119,raw_audio
600,121,raw_audio
601,122,raw_audio
602,121,raw_audio
603,121,raw_audio
604,120,raw_audio
605,120,raw_audio
606,118,raw_audio
607,103,raw_audio
608,123,raw_audio
609,131,raw_audio
610,120,raw_audio
611,116,raw_audio
612,121,raw_audio
613,122,raw_audio
614,120,raw_audio
615,118,raw_audio
616,120,raw_audio
617,120,raw_audio
618,119,raw_audio
619,121,raw_audio
620,121,raw_audio
621,120,raw_audio
622,119,raw_audio
623,103,raw_audio
624,121,raw_audio
625,132,raw_audio
626,121,raw_audio
627,118,raw_audio
628,123,raw_audio
629,124,raw_audio
630,120,raw_audio
631,119,raw_audio
632,121,raw_audio
633,123,raw_audio
634,121,raw_audio
635,121,raw_audio
636,120,raw_audio
637,121,raw_audio
638,122,raw_audio
639,106,raw_audio
640,119,raw_audio
641,134,raw_audio
642,125,raw_audio
643,119,raw_audio
644,122,raw_audio
645,122,raw_audio
646,118,raw_audio
647,118,raw_audio
648,120,raw_audio
649,120,raw_audio
650,120,raw_audio
651,120,raw_audio
652,121,raw_audio
653,121,raw_audio
654,122,raw_audio
655,107,raw_audio
656,115,raw_audio
657,133,raw_audio
658,125,raw_audio
659,120,raw_audio
660,121,raw_audio
661,122,raw_audio
662,120,raw_audio
